0061 	0041 	LATIN SMALL LETTER A 	LATIN CAPITAL LETTER A
0454 	0404 	CYRILLIC SMALL LETTER UKRAINIAN IE 	CYRILLIC CAPITAL LETTER UKRAINIAN IE
0455 	0405 	CYRILLIC SMALL LETTER DZE 	CYRILLIC CAPITAL LETTER DZE
0456 	0406 	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I 	CYRILLIC CAPITAL LETTER BYELORUSSIAN_UKRAINIAN I
0457 	0407 	CYRILLIC SMALL LETTER YI (UKRAINIAN) 	CYRILLIC CAPITAL LETTER YI (UKRAINIAN)
0458 	0408 	CYRILLIC SMALL LETTER JE 	CYRILLIC CAPITAL LETTER JE
0459 	0409 	CYRILLIC SMALL LETTER LJE 	CYRILLIC CAPITAL LETTER LJE
045A 	040A 	CYRILLIC SMALL LETTER NJE 	CYRILLIC CAPITAL LETTER NJE
045B 	040B 	CYRILLIC SMALL LETTER TSHE (SERBOCROATIAN) 	CYRILLIC CAPITAL LETTER TSHE (SERBOCROATIAN)
045C 	040C 	CYRILLIC SMALL LETTER KJE 	CYRILLIC CAPITAL LETTER KJE
045E 	040E 	CYRILLIC SMALL LETTER SHORT U (BYELORUSSIAN) 	CYRILLIC CAPITAL LETTER SHORT U (BYELORUSSIAN)
045F 	040F 	CYRILLIC SMALL LETTER DZHE 	CYRILLIC CAPITAL LETTER DZHE
0461 	0460 	CYRILLIC SMALL LETTER OMEGA 	CYRILLIC CAPITAL LETTER OMEGA
0463 	0462 	CYRILLIC SMALL LETTER YAT 	CYRILLIC CAPITAL LETTER YAT
0465 	0464 	CYRILLIC SMALL LETTER IOTIFIED E 	CYRILLIC CAPITAL LETTER IOTIFIED E
0467 	0466 	CYRILLIC SMALL LETTER LITTLE YUS 	CYRILLIC CAPITAL LETTER LITTLE YUS
0469 	0468 	CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS 	CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
046B 	046A 	CYRILLIC SMALL LETTER BIG YUS 	CYRILLIC CAPITAL LETTER BIG YUS
046D 	046C 	CYRILLIC SMALL LETTER IOTIFIED BIG YUS 	CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
046F 	046E 	CYRILLIC SMALL LETTER KSI 	CYRILLIC CAPITAL LETTER KSI
0471 	0470 	CYRILLIC SMALL LETTER PSI 	CYRILLIC CAPITAL LETTER PSI
0473 	0472 	CYRILLIC SMALL LETTER FITA 	CYRILLIC CAPITAL LETTER FITA
0475 	0474 	CYRILLIC SMALL LETTER IZHITSA 	CYRILLIC CAPITAL LETTER IZHITSA
0477 	0476 	CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT 	CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0479 	0478 	CYRILLIC SMALL LETTER UK 	CYRILLIC CAPITAL LETTER UK
047B 	047A 	CYRILLIC SMALL LETTER ROUND OMEGA 	CYRILLIC CAPITAL LETTER ROUND OMEGA
047D 	047C 	CYRILLIC SMALL LETTER OMEGA WITH TITLO 	CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
047F 	047E 	CYRILLIC SMALL LETTER OT 	CYRILLIC CAPITAL LETTER OT
0481 	0480 	CYRILLIC SMALL LETTER KOPPA 	CYRILLIC CAPITAL LETTER KOPPA
0491 	0490 	CYRILLIC SMALL LETTER GHE WITH UPTURN 	CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0493 	0492 	CYRILLIC SMALL LETTER GHE WITH STROKE 	CYRILLIC CAPITAL LETTER GHE WITH STROKE
0495 	0494 	CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK 	CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
0497 	0496 	CYRILLIC SMALL LETTER ZHE WITH DESCENDER 	CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
0499 	0498 	CYRILLIC SMALL LETTER ZE WITH DESCENDER 	CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
049B 	049A 	CYRILLIC SMALL LETTER KA WITH DESCENDER 	CYRILLIC CAPITAL LETTER KA WITH DESCENDER
049D 	049C 	CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE 	CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
049F 	049E 	CYRILLIC SMALL LETTER KA WITH STROKE 	CYRILLIC CAPITAL LETTER KA WITH STROKE
04A1 	04A0 	CYRILLIC SMALL LETTER EASHKIR KA 	CYRILLIC CAPITAL LETTER BASHKIR KA
04A3 	04A2 	CYRILLIC SMALL LETTER EN WITH DESCENOER 	CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04A5 	04A4 	CYRILLIC SMALL LIGATURE EN GHE 	CYRILLIC CAPITAL LIGATURE EN GHF
04A7 	04A6 	CYRILLIC SMALL LETTER PE WITH MIDDLE HOOK (ABKHASIAN) 	CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK (ABKHASIAN)
04A9 	04A8 	CYRILLIC SMALL LETTER ABKHASIAN HA 	CYRILLIC CAPITAL LETTER ABKHASIAN HA
04AB 	04AA 	CYRILLIC SMALL LETTER ES WITH DESCENDER 	CYRILLIC CAPITAL LETTER ES WITH DESCENDER
04AD 	04AC 	CYRILLIC SMALL LETTER TE WITH DESCENDER 	CYRILLIC CAPITAL LETTER TE WITH DESCENDER
04AF 	04AE 	CYRILLIC SMALL LETTER STRAIGHT U 	CYRILLIC CAPITAL LETTER STRAIGHT U
04B1 	04B0 	CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE 	CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
04B3 	04B2 	CYRILLIC SMALL LETTER HA WITH DESCENDER 	CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04B5 	04B4 	CYRILLIC SMALL LIGATURE TE TSE (ABKHASIAN) 	CYRILLIC CAPITAL LIGATURE TE TSE (ABKHASIAN)
04B7 	04B6 	CYRILLIC SMALL LETTER CHE WITH DESCENDER 	CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
04B9 	04B8 	CYRILLIC SMALL LETTER CHE WITH VERTICAL STROKE 	CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
04BB 	04BA 	CYRILLIC SMALL LETTER SHHA 	CYRILLIC CAPITAL LETTER SHHA
04BD 	04BC 	CYRILLIC SMALL LETTER ABKHASIAN CHE 	CYRILLIC CAPITAL LETTER ABKHASIAN CHE
04BF 	04BE 	CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER 	CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
04C2 	04C1 	CYRILLIC SMALL LETTER ZHE WITH BREVE 	CYRILLIC CAPITAL LETTER ZHE WITH BREVE
04C4 	04C3 	CYRILLIC SMALL LETTER KA WITH HOOK 	CYRILLIC CAPITAL LETTER KA WITH HOOK
04C8 	04C7 	CYRILLIC SMALL LETTER EN WITH HOOK 	CYRILLIC CAPITAL LETTER EN WITH HOOK
04CC 	04CB 	CYRILLIC SMALL LETTER KHAKASSIAN CHE 	CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
04D1 	04D0 	CYRILLIC SMALL LETTER A WITH BREVE 	CYRILLIC CAPITAL LETTER A WITH BREVE
04D3 	04D2 	CYRILLIC SMALL LETTER A WITH DIAERESIS 	CYRILLIC CAPITAL LETTER A WITH DIAERESIS
04D5 	04D4 	CYRILLIC SMALL LIGATURE A IE 	CYRILLIC CAPITAL LIGATURE A IE
04D7 	04D6 	CYRILLIC SMALL LETTER IE WITH BREVE 	CYRILLIC CAPITAL LETTER IE WITH BREVE
04D9 	04D8 	CYRILLIC SMALL LETTER SCHWA 	CYRILLIC CAPITAL LETTER SCHWA
04DB 	04DA 	CYRILLIC SMALL LETTER SCHWA WITH DIAERESIS 	CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
04DD 	04DC 	CYRILLIC SMALL LETTER ZHE WITH DIAERESIS 	CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
04DF 	04DE 	CYRILLIC SMALL LETTER ZE WITH DIAERESIS 	CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
04E1 	04E0 	CYRILLIC SMALL LETTER ABKHASIAN DZE 	CYRILLIC CAPITAL LETTER ABKHASIAN DZE
04E3 	04E2 	CYRILLIC SMALL LETTER I WITH MACRON 	CYRILLIC CAPITAL LETTER I WITH MACRON
04E5 	04E4 	CYRILLIC SMALL LETTER I WITH DIAERESIS 	CYRILLIC CAPITAL LETTER I WITH DIAERESIS
04E7 	04E6 	CYRILLIC SMALL LETTER O WITH DIAERESIS 	CYRILLIC CAPITAL LETTER O WITH DIAERESIS
04E9 	04E8 	CYRILLIC SMALL LETTER BARRED O 	CYRILLIC CAPITAL LETTER BARRED O
04EB 	04EA 	CYRILLIC SMALL LETTER BARRED O WITH DIAERESIS 	CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
04EF 	04EE 	CYRILLIC SMALL LETTER U WITH MACRON 	CYRILLIC CAPITAL LETTER U WITH MACRON
04F1 	04F0 	CYRILLIC SMALL LETTER U WITH DIAERESIS 	CYRILLIC CAPITAL LETTER U WITH DIAERESIS
04F3 	04F2 	CYRILLIC SMALL LETTER U WITH DOUBLE ACUTE 	CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
04F5 	04F4 	CYRILLIC SMALL LETTER CHE AITH DIAERESIS 	CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
04F9 	04F8 	CYRILLIC SMALL LETTER YERU WITH DIAERESIS 	CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
0561 	0531 	ARMENIAN SMALL LETTER AYB 	ARMENIAN CAPITAL LETTER AYB
0562 	0532 	ARMENIAN SMALL LETTER BEN 	ARMENIAN CAPITAL LETTER BEN
0563 	0533 	ARMENIAN SMALL LETTER GIM 	ARMENIAN CAPITAL LETTER GIM
0564 	0534 	ARMENIAN SMALL LETTER DA 	ARMENIAN CAPITAL LETTER DA
0565 	0535 	ARMENIAN SMALL LETTER ECH 	ARMENIAN CAPITAL LETTER ECH
0566 	0536 	ARMENIAN SMALL LETTER ZA 	ARMENIAN CAPITAL LETTER ZA
0567 	0537 	ARMENIAN SMALL LETTER EH 	ARMENIAN CAPITAL LETTER EH
0568 	0538 	ARMENIAN SMALL LETTER ET 	ARMENIAN CAPITAL LETTER ET
0569 	0539 	ARMENIAN SMALL LETTER TO 	ARMENIAN CAPITAL LETTER TO
056A 	053A 	ARMENIAN SMALL LETTER ZHE 	ARMENIAN CAPITAL LETTER ZHE
056B 	053B 	ARMENIAN SMALL LETTER INI 	ARMENIAN CAPITAL LETTER INI
056C 	053C 	ARMENIAN SMALL LETTER LIWN 	ARMENIAN CAPITAL LETTER LIWN
056D 	053D 	ARMENIAN SMALL LETTER XEH 	ARMENIAN CAPITAL LETTER XEH
056E 	053E 	ARMENIAN SMALL LETTER CA 	ARMENIAN CAPITAL LETTER CA
056F 	053F 	ARMENIAN SMALL LETTER KEN 	ARMENIAN CAPITAL LETTER KEN
0570 	0540 	ARMENIAN SMALL LETTER HO 	ARMENIAN CAPITAL LETTER HO
0571 	0541 	ARMENIAN SMALL LETTER JA 	ARMENIAN CAPITAL LETTER JA
0572 	0542 	ARMENIAN SMALL LETTER GHAD 	ARMENIAN CAPITAL LETTER GHAD
0573 	0543 	ARMENIAN SMALL LETTER CHEH 	ARMENIAN CAPITAL LETTER CHEH
0574 	0544 	ARMENIAN SMALL LETTER MEN 	ARMENIAN CAPITAL LETTER MEN
0575 	0545 	ARMENIAN SMALL LETTER YI 	ARMENIAN CAPITAL LETTER YI
0576 	0546 	ARMENIAN SMALL LETTER NOW 	ARMENIAN CAPITAL LETTER NOW
0577 	0547 	ARMENIAN SMALL LETTER SNA 	ARMENIAN CAPITAL LETTER SHA
0578 	0548 	ARMENIAN SMALL LETTER VO 	ARMENIAN CAPITAL LETTER VO
0579 	0549 	ARMENIAN SMALL LETTER CHA 	ARMENIAN CAPITAL LETTER CHA
057A 	054A 	ARMENIAN SMALL LETTER PEH 	ARMENIAN CAPITAL LETTER PEH
057B 	054B 	ARMENIAN SMALL LETTER JHEH 	ARMENIAN CAPITAL LETTER JHEH
057C 	054C 	ARMENIAN SMALL LETTER RA 	ARMENIAN CAPITAL LETTER RA
057D 	054D 	ARMENIAN SMALL LETTER SEH 	ARMENIAN CAPITAL LETTER SEH
057E 	054E 	ARMENIAN SMALL LETTER VEW 	ARMENIAN CAPITAL LETTER VEW
057F 	054F 	ARMENIAN SMALL LETTER TIWN 	ARMENIAN CAPITAL LETTER TIWN
0580 	0550 	ARMENIAN SMALL LETTER REH 	ARMENIAN CAPITAL LETTER REH
0581 	0551 	ARMENIAN SMALL LETTER CO 	ARMENIAN CAPITAL LETTER CO
0582 	0552 	ARMENIAN SMALL LETTER YIWN 	ARMENIAN CAPITAL LETTER YIWN
0583 	0553 	ARMENIAN SMALL LETTER PIWP 	ARMENIAN CAPITAL LETTER PIWR
0584 	0554 	ARMENIAN SMALL LETTER KEH 	ARMENIAN CAPITAL LETTER KEH
0585 	0555 	ARMENIAN SMALL LETTER OH 	ARMENIAN CAPITAL LETTER OH
0586 	0556 	ARMENIAN SMALL LETTER FEH 	ARMENIAN CAPITAL LETTER FEH
10D0 	10A0 	GEORGIAN LETTER AN 	GEORGIAN CAPITAL LETTER AN (KHUTSURI)
10D1 	10A1 	GEORGIAN LETTER BAN 	GEORGIAN CAPITAL LETTER BAN (KHUTSURI)
10D2 	10A2 	GEORGIAN LETTER GAN 	GEORGIAN CAPITAL LETTER GAN (KHUTSURI)
10D3 	10A3 	GEORGIAN LETTER DON 	GEORGIAN CAPITAL LETTER DON (KHUTSURI)
10D4 	10A4 	GEORGIAN LETTER EN 	GEORGIAN CAPITAL LETTER EN (KHUTSURI)
10D5 	10A5 	GEORGIAN LETTER VIN 	GEORGIAN CAPITAL LETTER VIN (KHUTSURI)
10D6 	10A6 	GEORGIAN LETTER ZEN 	GEORGIAN CAPITAL LETTER ZEN (KHUTSURI)
10D7 	10A7 	GEORGIAN LETTER TAN 	GEORGIAN CAPITAL LETTER TAN (KHUTSURI)
10D8 	10A8 	GEORGIAN LETTER IN 	GEORGIAN CAPITAL LETTER IN (KHUTSURI)
10D9 	10A9 	GEORGIAN LETTER KAN 	GEORGIAN CAPITAL LETTER KAN (KHUTSURI)
10DA 	10AA 	GEORGIAN LETTER LAS 	GEORGIAN CAPITAL LETTER LAS (KHUTSURI)
10DB 	10AB 	GEORGIAN LETTER MAN 	GEORGIAN CAPITAL LETTER MAN (KHUTSURI)
10DC 	10AC 	GEORGIAN LETTER NAR 	GEORGIAN CAPITAL LETTER NAR (KHUTSURI)
10DD 	10AD 	GEORGIAN LETTER ON 	GEORGIAN CAPITAL LETTER ON (KHUTSURI)
10DE 	10AE 	GEORGIAN LETTER PAR 	GEORGIAN CAPITAL LETTER PAR (KHUTSURI)
10DF 	10AF 	GEORGIAN LETTER ZHAR 	GEORGIAN CAPITAL LETTER ZHAR (KHUTSURI)
10E0 	10B0 	GEORGIAN LETTER RAE 	GEORGIAN CAPITAL LETTER RAE (KHUTSURI)
10E1 	10B1 	GEORGIAN LETTER SAN 	GEORGIAN CAPITAL LETTER SAN (KHUTSURI)
10E2 	10B2 	GEORGIAN LETTER TAR 	GEORGIAN CAPITAL LETTER TAR (KHUTSURI)
10E3 	10B3 	GEORGIAN LETTER UN 	GEORGIAN CAPITAL LETTER UN (KHUTSURI)
10E4 	10B4 	GEORGIAN LETTER PHAR 	GEORGIAN CAPITAL LETTER PHAR (KHUTSURI)
10E5 	10B5 	GEORGIAN LETTER KHAR 	GEORGIAN CAPITAL LETTER KHAR (KHUTSURI)
10E6 	10B6 	GEORGIAN LETTER GHAN 	GEORGIAN CAPITAL LETTER GHAN (KHUTSURI)
10E7 	10B7 	GEORGIAN LETTER QAR 	GEORGIAN CAPITAL LETTER QAR (KHUTSURI)
10E8 	10B8 	GEORGIAN LETTER SHIN 	GEORGIAN CAPITAL LETTER SHIN (KHUTSURI)
10E9 	10B9 	GEORGIAN LETTER CHIN 	GEORGIAN CAPITAL LETTER CHIN (KHUTSURI)
10EA 	10BA 	GEORGIAN LETTER CAN 	GEORGIAN CAPITAL LETTER CAN (KHUTSURI)
10EB 	10BB 	GEORGIAN LETTER JIL 	GEORGIAN CAPITAL LETTER JIL (KHUTSURI)
10EC 	10BC 	GEORGIAN LETTER CIL 	GEORGIAN CAPITAL LETTER CIL (KHUTSURI)
10ED 	10BD 	GEORGIAN LETTER CHAR 	GEORGIAN CAPITAL LETTER CHAR (KHUTSURI)
10EE 	10BE 	GEORGIAN LETTER XAN 	GEORGIAN CAPITAL LETTER XAN (KHUTSURI)
10EF 	10BF 	GEORGIAN LETTER JHAN 	GEORGIAN CAPITAL LETTER JHAN (KHUTSURI)
10F0 	10C0 	GEORGIAN LETTER HAE 	GEORGIAN CAPITAL LETTER HAE (KHUTSURI)
10F1 	10C1 	GEORGIAN LETTER HE 	GEORGIAN CAPITAL LETTER HE (KHUTSURI)
10F2 	10C2 	GEORGIAN LETTER HIE 	GEORGIAN CAPITAL LETTER HIE (KHUTSURI)
10F3 	10C3 	GEORGIAN LETTER WE 	GEORGIAN CAPITAL LETTER WE (KHUTSURI)
10F4 	10C4 	GEORGIAN LETTER HAR 	GEORGIAN CAPITAL LETTER HAR (KHUTSURI)
10F5 	10C5 	GEORGIAN LETTER HOE 	GEORGIAN CAPITAL LETTER HOE (KHUTSURI)
1E01 	1E00 	LATIN SMALL LETTER A WITH RING BELOW 	LATIN CAPITAL LETTER A WITH RING BELOW
1E03 	1E02 	LATIN SMALL LETTER B WITH DOT ABOVE 	LATIN CAPITAL LETTER B WITH DOT ABOVE
1E05 	1E04 	LATIN SMALL LETTER B WITH DOT BELOW 	LATIN CAPITAL LETTER B WITH DOT BELOW
1E07 	1E06 	LATIN SMALL LETTER B WITH LINE BELOW 	LATIN CAPITAL LETTER B WITH LINE BELOW
1E09 	1E08 	LATIN SMALL LETTER C WITH CEDILLA AND ACUTE 	LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
1E0B 	1E0A 	LATIN SMALL LETTER D WITH DOT ABOVE 	LATIN CAPITAL LETTER D WITH DOT ABOVE
1E0D 	1E0C 	LATIN SMALL LETTER D WITH DOT BELOW 	LATIN CAPITAL LETTER D WITH DOT BELOW
1E0F 	1E0E 	LATIN SMALL LETTER D WITH LINE BELOW 	LATIN CAPITAL LETTER D WITH LINE BELOW
1E11 	1E10 	LATIN SMALL LETTER D WITH CEDILLA 	LATIN CAPITAL LETTER D WITH CEDILLA
1E13 	1E12 	LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW 	LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
1E15 	1E14 	LATIN SMALL LETTER E WITH MACRON AND GRAVE 	LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
1E17 	1E16 	LATIN SMALL LETTER E WITH MACRON AND ACUTE 	LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
1E19 	1E18 	LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW 	LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
1E1B 	1E1A 	LATIN SMALL LETTER E WITH TILDE BELOW 	LATIN CAPITAL LETTER E WITH TILDE BELOW
1E1D 	1E1C 	LATIN SMALL LETTER E WITH CEDILLA AND BREVE 	LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
1E1F 	1E1E 	LATIN SMALL LETTER F WITH DOT ABOVE 	LATIN CAPITAL LETTER F WITH DOT ABOVE
1E21 	1E20 	LATIN SMALL LETTER G WITH MACRON 	LATIN CAPITAL LETTER G WITH MACRON
1E23 	1E22 	LATIN SMALL LETTER H WITH DOT ABOVE 	LATIN CAPITAL LETTER H WITH DOT ABOVE
1E25 	1E24 	LATIN SMALL LETTER H WITH DOT BELOW 	LATIN CAPITAL LETTER H WITH DOT BELOW
1E27 	1E26 	LATIN SMALL LETTER H WITH DIAERESIS 	LATIN CAPITAL LETTER H WITH DIAERESIS
1E29 	1E28 	LATIN SMALL LETTER H WITH CEDILLA 	LATIN CAPITAL LETTER H WITH CEDILLA
1E2B 	1E2A 	LATIN SMALL LETTER H WITH BREVE BELOW 	LATIN CAPITAL LETTER H WITH BREVE BELOW
1E2D 	1E2C 	LATIN SMALL LETTER I WITH TILDE BELOW 	LATIN CAPITAL LETTER I WITH TILDE BELOW
1E2F 	1E2E 	LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE 	LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
1E31 	1E30 	LATIN SMALL LETTER K WITH ACUTE 	LATIN CAPITAL LETTER K WITH ACUTE
1E33 	1E32 	LATIN SMALL LETTER K WITH DOT BELOW 	LATIN CAPITAL LETTER K WITH DOT BELOW
1E35 	1E34 	LATIN SMALL LETTER K WITH LINE BELOW 	LATIN CAPITAL LETTER K WITH LINE BELOW
1E37 	1E36 	LATIN SMALL LETTER L WITH DOT BELOW 	LATIN CAPITAL LETTER L WITH DOT BELOW
1E39 	1E38 	LATIN SMALL LETTER L WITH DOT BELOW AND MACRON 	LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
1E3B 	1E3A 	LATIN SMALL LETTER L WITH LINE BELOW 	LATIN CAPITAL LETTER L WITH LINE BELOW
1E3D 	1E3C 	LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW 	LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
1E3F 	1E3E 	LATIN SMALL LETTER M WITH ACUTE 	LATIN CAPITAL LETTER M WITH ACUTE
1E41 	1E40 	LATIN SMALL LETTER M WITH DOT ABOVE 	LATIN CAPITAL LETTER M WITH DOT ABOVE
1E43 	1E42 	LATIN SMALL LETTER M WITH DOT BELOW 	LATIN CAPITAL LETTER M WITH DOT BELOW
1E45 	1E44 	LATIN SMALL LETTER N WITH DOT ABOVE 	LATIN CAPITAL LETTER N WITH DOT ABOVE
1E47 	1E46 	LATIN SMALL LETTER N WITH DOT BELOW 	LATIN CAPITAL LETTER N WITH DOT BELOW
1E49 	1E48 	LATIN SMALL LETTER N WITH LINE BELOW 	LATIN CAPITAL LETTER N WITH LINE BELOW
1E4B 	1E4A 	LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW 	LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
1E4D 	1E4C 	LATIN SMALL LETTER O WITH TILDE AND ACUTE 	LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
1E4F 	1E4E 	LATIN SMALL LETTER O WITH TlLDE AND DIAERESIS 	LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
1E51 	1E50 	LATIN SMALL LETTER O WITH MACRON AND GRAVE 	LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
1E53 	1E52 	LATIN SMALL LETTER O WITH MACRON AND ACUTE 	LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
1E55 	1E54 	LATIN SMALL LETTER P WITH ACUTE 	LATIN CAPITAL LETTER P WITH ACUTE
1E57 	1E56 	LATIN SMALL LETTER P WITH DOT ABOVE 	LATIN CAPITAL LETTER P WITH DOT ABOVE
1E59 	1E58 	LATIN SMALL LETTER R WITH DOT ABOVE 	LATIN CAPITAL LETTER R WITH DOT ABOVE
1E5B 	1E5A 	LATIN SMALL LETTER R WITH DOT BELOW 	LATIN CAPITAL LETTER R WITH DOT BELOW
1E5D 	1E5C 	LATIN SMALL LETTER R WITH DOT BELOW AND MACRON 	LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
1E5F 	1E5E 	LATIN SMALL LETTER R WITH LINE BELOW 	LATIN CAPITAL LETTER R WITH LINE BELOW
1E61 	1E60 	LATIN SMALL LETTER S WITH DOT ABOVE 	LATIN CAPITAL LETTER S WITH DOT ABOVE
1E63 	1E62 	LATIN SMALL LETTER S WITH DOT BELOW 	LATIN CAPITAL LETTER S WITH DOT BELOW
1E65 	1E64 	LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE 	LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
1E67 	1E66 	LATIN SMALL LETTER S WITH CARON AND DOT ABOVE 	LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
1E69 	1E68 	LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE 	LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
1E6B 	1E6A 	LATIN SMALL LETTER T WITH DOT ABOVE 	LATIN CAPITAL LETTER T WITH DOT ABOVE
1E6D 	1E6C 	LATIN SMALL LETTER T WITH DOT BELOW 	LATIN CAPITAL LETTER T WITH DOT BELOW
1E6F 	1E6E 	LATIN SMALL LETTER T WITH LINE BELOW 	LATIN CAPITAL LETTER T WITH LINE BELOW
1E71 	1E70 	LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW 	LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
1E73 	1E72 	LATIN SMALL LETTER U WITH DIAERESIS BELOW 	LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
1E75 	1E74 	LATIN SMALL LETTER U WITH TILDE BELOW 	LATIN CAPITAL LETTER U WITH TILDE BELOW
1E77 	1E76 	LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW 	LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
1E79 	1E78 	LATIN SMALL LETTER U WITH TILDE AND ACUTE 	LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
1E7B 	1E7A 	LATIN SMALL LETTER U WITH MACRON AND DIAERESIS 	LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
1E7D 	1E7C 	LATIN SMALL LETTER V WITH TILDE 	LATIN CAPITAL LETTER V WITH TILDE
1E7F 	1E7E 	LATIN SMALL LETTER V WITH DOT BELOW 	LATIN CAPITAL LETTER V WITH DOT BELOW
1E81 	1E80 	LATIN SMALL LETTER W WITH GRAVE 	LATIN CAPITAL LETTER W WITH GRAVE
1E83 	1E82 	LATIN SMALL LETTER W WITH ACUTE 	LATIN CAPITAL LETTER W WITH ACUTE
1E85 	1E84 	LATIN SMALL LETTER W WITH DIAERESIS 	LATIN CAPITAL LETTER W WITH DIAERESIS
1E87 	1E86 	LATIN SMALL LETTER W WITH DOT ABOVE 	LATIN CAPITAL LETTER W WITH DOT ABOVE
1E89 	1E88 	LATIN SMALL LETTER W WITH DOT BELOW 	LATIN CAPITAL LETTER W WITH DOT BELOW
1E8B 	1E8A 	LATIN SMALL LETTER X WITH DOT ABOVE 	LATIN CAPITAL LETTER X WITH DOT ABOVE
1E8D 	1E8C 	LATIN SMALL LETTER X WITH DIAERESIS 	LATIN CAPITAL LETTER X5 WITH DIAERESIS
1E8F 	1E8E 	LATIN SMALL LETTER Y WITH DOT ABOVE 	LATIN CAPITAL LETTER Y WITH DOT ABOVE
1E91 	1E90 	LATIN SMALL LETTER Z WITH CIRCUMFLEX 	LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
1E93 	1E92 	LATIN SMALL LETTER Z WITH DOT BELOW 	LATIN CAPITAL LETTER Z WITH DOT BELOW
1E95 	1E94 	LATIN SMALL LETTER Z WITH LINE BELOW 	LATIN CAPITAL LETTER Z WITH LINE BELOW
1EA1 	1EA0 	LATIN SMALL LETTER A WITH DOT BELOW 	LATIN CAPITAL LETTER A WITH DOT BELOW
1EA3 	1EA2 	LATIN SMALL LETTER A WITH HOOK ABOVE 	LATIN CAPITAL LETTER A WITH HOOK ABOVE
1EA5 	1EA4 	LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE 	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
